question,role,source,generated_answer,ground_truth,faithfulness,relevance,completeness,clarity,embedding_similarity
What is the primary cloud provider utilized by FinSolve Technologies?,engineering,engineering_master_doc.md,AWS,AWS,1.0,1.0,1.0,1.0,1.0
What is the name of the industry-standard protocol for authorization used by FinSolve?,engineering,engineering_master_doc.md,OAuth 2.0,OAuth 2.0,1.0,1.0,1.0,1.0,1.0
What is the Recovery Time Objective (RTO) for FinSolve's disaster recovery plan?,engineering,engineering_master_doc.md,4 hours,4 hours,1.0,1.0,1.0,1.0,1.0000001192092896
What was the year-over-year revenue growth for FinSolve Technologies in 2024?,finance,financial_summary.md,25%,25%,0.0,1.0,0.8,0.9,1.0
What was the total expense for vendor services in 2024?,finance,financial_summary.md,$30M,$30M,0.0,1.0,0.8,0.9,1.0000001192092896
What was the gross margin percentage for FinSolve Technologies in 2024?,finance,financial_summary.md,60%,60%,1.0,1.0,1.0,1.0,1.0
What was the total revenue of FinSolve Technologies Inc. in 2024?,finance,quarterly_financial_report.md,$9.4 billion,$9.4 billion,0.0,1.0,1.0,1.0,1.0
What was the gross margin in Q4 2024?,finance,quarterly_financial_report.md,64%,64%,1.0,1.0,1.0,1.0,1.0000001192092896
How much was allocated to research and development (R&D) and market expansion in Q2 2024?,finance,quarterly_financial_report.md,$60 million,$60 million,0.0,0.8,0.4,0.7,1.000000238418579
What is the company vision of FinSolve Technologies?,general,employee_handbook.md,To empower businesses and individuals through innovative technology solutions.,To empower businesses and individuals through innovative technology solutions.,1.0,1.0,0.8,0.9,1.0000001192092896
What are the components of the salary structure?,general,employee_handbook.md,"Basic Salary, House Rent Allowance (HRA), Special Allowance, Conveyance Allowance, Bonus, Gratuity, Provident Fund, Professional Tax, and ESI.","Basic Salary, House Rent Allowance (HRA), Special Allowance, Conveyance Allowance, Bonus, Gratuity, Provident Fund, Professional Tax, and ESI.",1.0,1.0,0.9,0.9,1.0000001192092896
How many days of casual leave are entitled to an employee per year?,general,employee_handbook.md,7 days,7 days,1.0,1.0,1.0,1.0,1.000000238418579
What is the role of the employee with employee_id FINEMP1000?,hr,hr_data.csv,Sales Manager,Sales Manager,1.0,1.0,1.0,1.0,1.0
What is the department of the employee with employee_id FINEMP1005?,hr,hr_data.csv,Finance,Finance,1.0,1.0,1.0,1.0,1.0
What is the email of the employee with employee_id FINEMP1008?,hr,hr_data.csv,aadhya.chowdhury@fintechco.com,aadhya.chowdhury@fintechco.com,1.0,1.0,1.0,1.0,1.0
What was the percentage increase in new customer acquisition in 2024?,marketing,marketing_report_2024.md,20%,20%,0.0,1.0,0.8,1.0,1.0
What was the total marketing budget for FinSolve Technologies in 2024?,marketing,marketing_report_2024.md,$15M,$15M,0.0,1.0,1.0,1.0,1.0
What was the return on investment (ROI) for the 'InstantWire Global Expansion' digital campaign?,marketing,marketing_report_2024.md,3.5x,3.5x,0.0,1.0,0.8,0.9,1.0
What was the total marketing spend for Q1 2024?,marketing,marketing_report_q1_2024.md,$2 million,$2 million,0.0,1.0,1.0,1.0,1.0
What was the customer acquisition target for Q1 2024?,marketing,marketing_report_q1_2024.md,"150,000 new customers","150,000 new customers",0.0,1.0,0.8,0.9,1.0000001192092896
What was the achieved conversion rate in Q1 2024?,marketing,marketing_report_q1_2024.md,10.2%,10.2%,1.0,1.0,1.0,1.0,1.0000001192092896
What was the marketing spend allocated for Q2 2024?,marketing,marketing_report_q2_2024.md,$2.5 million,$2.5 million,0.0,1.0,0.8,1.0,1.0
What was the target customer acquisition for Q2 2024?,marketing,marketing_report_q2_2024.md,"200,000 new customers","200,000 new customers",0.0,1.0,0.8,0.9,1.0000001192092896
What was the achieved conversion rate in Q2 2024?,marketing,marketing_report_q2_2024.md,12.1%,12.1%,1.0,1.0,1.0,1.0,1.0000001192092896
What was the marketing spend for Q3 2024?,marketing,marketing_report_q3_2024.md,$2 million,$2 million,0.0,1.0,0.8,1.0,1.0
What was the customer acquisition target for Q3 2024?,marketing,marketing_report_q3_2024.md,"180,000 new customers","180,000 new customers",0.0,1.0,0.8,1.0,1.0
What was the conversion rate target for Q3 2024?,marketing,marketing_report_q3_2024.md,14.0%,14.0%,1.0,1.0,1.0,1.0,1.0
What was the marketing spend for Q4 2024?,marketing,market_report_q4_2024.md,$2.5 million,$2.5 million,0.5,0.5,0.5,0.5,1.0
What was the customer acquisition target for Q4 2024?,marketing,market_report_q4_2024.md,"220,000 new customers","220,000 new customers",0.5,0.5,0.5,0.5,1.0
What was the achieved conversion rate by mid-December in Q4 2024?,marketing,market_report_q4_2024.md,14.2%,14.2%,0.5,0.5,0.5,0.5,1.0
